epoch,accuracy,loss,val_accuracy,val_loss
0,0.9786880612373352,0.06064276024699211,0.6570605039596558,1.727400779724121
1,0.9784113168716431,0.061371345072984695,0.6484149694442749,1.8478790521621704
2,0.9792416095733643,0.055148541927337646,0.6570605039596558,1.8339518308639526
3,0.977027416229248,0.06223573535680771,0.6685879230499268,1.848073124885559
4,0.9773041605949402,0.05837063863873482,0.6484149694442749,1.8603849411010742
5,0.9789648652076721,0.0541541613638401,0.6657060384750366,1.8258628845214844
6,0.9789648652076721,0.055073633790016174,0.6628242135047913,1.8620550632476807
7,0.9789648652076721,0.052865542471408844,0.6657060384750366,1.8698829412460327
8,0.9809023141860962,0.05124789848923683,0.6455331444740295,1.9252142906188965
9,0.9792416095733643,0.05290139466524124,0.6628242135047913,1.9010611772537231
10,0.9792416095733643,0.05172302573919296,0.6657060384750366,1.8900922536849976
11,0.9775809645652771,0.050251688808202744,0.6657060384750366,1.899755835533142
12,0.9797951579093933,0.04932325333356857,0.6714697480201721,1.891107439994812
13,0.9784113168716431,0.048905085772275925,0.6484149694442749,1.9575188159942627
14,0.9797951579093933,0.0480138435959816,0.6743515729904175,1.9095540046691895
15,0.9792416095733643,0.04631159454584122,0.6628242135047913,1.934789776802063
16,0.9811790585517883,0.04418279230594635,0.6685879230499268,1.9455950260162354
17,0.9809023141860962,0.04403853043913841,0.6484149694442749,2.0450096130371094
18,0.9800719618797302,0.044598035514354706,0.6570605039596558,2.023380756378174
19,0.9797951579093933,0.04395294934511185,0.6541786789894104,2.0892531871795654
20,0.9775809645652771,0.04451828449964523,0.6484149694442749,2.098283529281616
21,0.9789648652076721,0.0433947779238224,0.6599423885345459,2.0790960788726807
22,0.9803487658500671,0.04053936153650284,0.6628242135047913,2.0527491569519043
23,0.9795184135437012,0.04438326135277748,0.6657060384750366,2.0171573162078857
24,0.9797951579093933,0.04110826551914215,0.6628242135047913,2.112910032272339
